Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x216b20bf46828d868f02ee63832220956b49c66b9ad05606e881c16d3ae50ecc","Success","Transfer","77712841","2025-10-15 12:13:15","0xf6a5f3a872c5d515f1e1f42188552cfa6b3fe90c","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x4d2f76a0541aeec3be1b0f5b5113860c155d4555ffa6d5d35d005b0190621cd1","Success","Transfer","77712841","2025-10-15 12:13:15","0x5967047c94a2ba6c3e106a57291c00ceedc9251d","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0xc16c6e515400e9087f868dd2f922c88c5b0216249937758f7031fb2f21039c11","Success","Transfer","77712841","2025-10-15 12:13:15","0x0aeabc74ddec6e10e5c3be3d2179089d7839b8fd","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x00867f7b09f30f39184b44a3096a07e9e71189729ac862dc37af1e142d48a814","Success","Transfer","77712841","2025-10-15 12:13:15","0xcefae90f26195a56011dea6708f9c5b4968d92b1","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x10a996aab3eda0e5835fa860d0c161a653d45488dbd4065b6c1857caa628b7f6","Success","Transfer","77712841","2025-10-15 12:13:15","0x41b1f1d516ab83d9812984ede009a4edec6cfb6e","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0xdbd1049c28b528208ac5524b4371860df412cba576934efb4009523ede9401e6","Success","Transfer","77712841","2025-10-15 12:13:15","0xda46cc27560196bb4f31b48657d0f308f4e79907","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x4d477492014a7574dea607f07309d2a1b7952df0b0f8f58892c84c9bf6e5a4af","Success","Transfer","77712841","2025-10-15 12:13:15","0xeefd7a0c5c43f3fdc6b05cd1997a4cc310ddc58b","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00105022"
"0x57525f2b79abea2bd26e1d140635aa0a7f89c32151c818dc1259fab6c172c3e1","Success","Transfer","77712841","2025-10-15 12:13:15","0x5b18ad1252ea64deba95dbde61bfa0f9c286d486","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x0ebb06c5c849687b1498920614c9ceaad4d3e5469209229487adbe350972af09","Success","Transfer","77712841","2025-10-15 12:13:15","0x38a3c9ba8517531ac4e608f768fa1e984c9ac0be","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x17ac053bdcc7719955435e04c8c51f5817cc83ce73ff1089d410ee9e20e15ad9","Success","Transfer","77712841","2025-10-15 12:13:15","0xdbbb72c7560c5a4448518633eb058d9cca9467d9","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x7a86468aa481a8610d38402c4c90742757a5e688630ddef3c6538659d1b1429a","Success","Approve","77712841","2025-10-15 12:13:15","0x53d5f52a7d7952c56cd170ea8f5aa87674c1909e","","0x00000000efe302beaa2b3e6e1b18d08d69a9012a","Agora: AUSD Token","0 POL","$0.00","0.00146713"
"0xc74d53e1fefb3e871156dc4bcb01dbd5e95419d1901b5b9c0adffbfc59c69912","Txn Receipt status fail","0xeaa79076","77712841","2025-10-15 12:13:15","0xb4b919ddea467cf55fbf0d2c28cf3eafc9b1da00","","0xc37184b6ab8d18be826af019cfa6bb71c6a0ab39","","0 POL","$0.00","0.00313803"
"0x0ce5a66250e8bbf6de6d76017a05092fbc16f3b22cd18f09fcb2ee981b2359b5","Success","Approve","77712841","2025-10-15 12:13:15","0x73076a5d8a17693d6a1dc300e38015ac2c271353","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00151886"
"0x77124b03ebe3dcf9bbb83ed91605320f71375f74735c99f8fe45043b60be013f","Success","Deposit","77712841","2025-10-15 12:13:15","0x965a581651c52cb3d2f1e752301d9d6abe3c69ba","","0x40465755eb5846d655bbcc8c186a477469f9ce36","","0 POL","$0.00","0.01229466"
"0xbf041fa95dba0edf8b31695b5d17341cba1ebab06fad0037c8f156451ce459fe","Success","Transfer","77712841","2025-10-15 12:13:15","0x149437e5cba3dfcae370e4eac23fe337b06e1e14","","0xead7c5b102e0d37c6cfb01182c8e32e6261a8275","","11 POL","$2.20","0.00063"
"0x83757f75a5d8ca41f1c29329136d99064c71129c9ae6fe775333a396c150328c","Success","Transfer","77712841","2025-10-15 12:13:15","0x025db78f11d17b3b5fdd70864e9ebc6789922410","","0xdbd2a730cc91938984dd8ee3c9a45aa496f281a6","","0.0026 POL","$0.00","0.00063"
"0xd5111fbe0e738945d3fe2ab940c9653994db055c56b0fe132f641c26094323c0","Success","Open Position","77712841","2025-10-15 12:13:15","0x8d3f0b86b5b75fd958848d9d4d225ea24eb623dc","","0x5c9a8a94959d0037964c63e2bebd7a196fecae68","","0 POL","$0.00","0.00999549"
"0x7d802d591fbe6ba16cecef6fc6399947446090a828cc36aab3d52a735f375e7e","Success","Cancel Order","77712841","2025-10-15 12:13:15","0x74ac1184e3dd31a005ce806f421afb753015ebe4","","0x6fe86d8f0d2cf30fdedb86e137c25d3418cd4d94","","0 POL","$0.00","0.004176"
"0xd927f7b971f91f045ebc4c59bec171812dc3bfd4c20fbe1ca76ff9deb4ff17a1","Success","Transfer*","77712841","2025-10-15 12:13:15","0x14e03c77357528a9e7a245cf56d5c6e20938e1f1","","0x0196f25c0062367e42f43a9d7eeceb94f4b0d6cc","","1.2 POL","$0.24","0.00101592"
"0x4ba9faaf708c5cc1a8211de3afbc52fb9861e168363fff6990b58c35438e429f","Txn Receipt status fail","Transfer*","77712841","2025-10-15 12:13:15","0x3ac0b5ba9603d023e3b6104eeabb886248409c0b","","0x0fcb99e0376044abfadca60e06605a479980c9f4","","0 POL","$0.00","0.00703159"
"0x866e5ec4f13e88c7b08997c04402829b82574816032fa3a6b7f125beae4e1507","Success","Unknowne R__8w03R","77712841","2025-10-15 12:13:15","0xc7c47e7b239a13bc703a322a9d279024aae601a2","","0xe3eb0edadb49e0362dae60ff41d67803290a2ab3","","0 POL","$0.00","0.0099663"
"0x91224130101e7e605852314f87e574366118681ec0614dd7d9f60e73847f491a","Success","Swap","77712841","2025-10-15 12:13:15","0x6980734746cc3733bad4b9ddb238be6725111b74","","0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31","Metamask: Swap Router","50 POL","$9.98","0.02394279"
"0x89b4055dbf65c4658f23215dc37001efcb73ecfeef017da7051c8c54b749e990","Success","Transfer","77712841","2025-10-15 12:13:15","0x50377708e0bb2f69877a6f8bc39b667fa6dde1d5","","0xaf6be838b0d1486dfe522c7b610579d57cde871c","Fake_Phishing1212977","0 POL","$0.00","0.00588163"
"0x465c9c5b0cba20a316493035ad21e08aafe0d5f89cfcf823c47501da8768878c","Success","Mint","77712841","2025-10-15 12:13:15","0xecc237a78053680c7fdadf2ee586b98e13e6cc66","","0x8a76f02eee2bad9206f302fc0e230eb609e81801","","0 POL","$0.00","0.00768534"
"0x3264c0cf38f32b5f79efaa31d0a1dbe64f010180695de047fa7d709f830be215","Success","Transfer","77712841","2025-10-15 12:13:15","0xe5318313ed11ea8f6ac13af97cd26395ea5171c6","","0x9c6605eeb66bd05858e0cb5204432aa6c7d0fa24","","0 POL","$0.00","0.0017262"
"0x17c50345de30dbbe771397ea8da0bf92d23e700c4093325dbe5d7b3643d4812b","Success","Mint","77712841","2025-10-15 12:13:15","0x243a9abddd6ebe4ced8bd35aefbc405137a602b7","","0x94e2bbe914d16deda52d681785059ab1e0867d01","","0 POL","$0.00","0.00183755"
"0x84a4ade02fb4183d53f52d03047f60c2d5c5c2c1688ea3d4eec78c3cbb7eb989","Success","Mint","77712841","2025-10-15 12:13:15","0x243a9abddd6ebe4ced8bd35aefbc405137a602b7","","0x94e2bbe914d16deda52d681785059ab1e0867d01","","0 POL","$0.00","0.00183755"
"0x2578c944315e9a0ea4297db4cf606219b2925ea0e23bad19834c9662d75eb87a","Success","Mint","77712841","2025-10-15 12:13:15","0x243a9abddd6ebe4ced8bd35aefbc405137a602b7","","0x94e2bbe914d16deda52d681785059ab1e0867d01","","0 POL","$0.00","0.00183755"
"0x1e4adb4166751f0f0d4cfc6dfce0fcaa94103eaf2b262e2c106fd60cb9b1e5f8","Success","Mint","77712841","2025-10-15 12:13:15","0x243a9abddd6ebe4ced8bd35aefbc405137a602b7","","0x94e2bbe914d16deda52d681785059ab1e0867d01","","0 POL","$0.00","0.00183755"
"0x63af2a6a152a1fef16d170c631be50ae99fb8321235776afc244f50c7ef79da7","Success","0xd9f0f7f5","77712841","2025-10-15 12:13:15","0x82858bd35bf880fca7548d832de39c09c5611a23","","0x25a4b842cb200e9148ff5a11babf80488c8d8b07","","0 POL","$0.00","0.00318291"
"0xf9efc6bc0e407c0300c331ae7e48fbfb9b86117b2625556bde6e05cedfcfa4a4","Success","Stake","77712841","2025-10-15 12:13:15","0xeaba7485cddd0f3640a68dcdf9b0d6a149f5cb4d","","0x78654ed080c1d1c87907646fdb2ae48db3635341","","0 POL","$0.00","0.00385004"
"0xc8a43dc24fe1a07a21e579f5b55999e8b44bc2b31ed75118cdc703f13a4a3ca9","Success","0x0a03d63e","77712841","2025-10-15 12:13:15","0xd3ee934afcd50dc12114e5b77fe3b45d22dd8b8f","","0x81ba6064523801445531043acecbd1066ab49897","","0 POL","$0.00","0.01186075"
"0xb1666404c6ef327b13d897bc5dbd9bbfc67cfdbe4eaabba3560ecc5c1ecf8551","Success","0x5d3cb9cc","77712841","2025-10-15 12:13:15","0x0219f11b57a3529e13b86f6f117e8099afb91f79","","0x41f1c6415dff7ba19b21e336e3e72e7f56d60668","","0 POL","$0.00","0.0021172"
"0xf6794514a55c42a1d939e85aade6430dd3212bf43e3972ce099572cac9836b76","Success","Approve","77712841","2025-10-15 12:13:15","0xa7f8b076d85279778a0481b43570d45e66635fd3","","0xbf7970d56a150cd0b60bd08388a4a75a27777777","Betfin: BET Token","0 POL","$0.00","0.0009831"
"0x843d65ccea413fae03d5d426e51f0879f0e19c45031a114c98756acf1efa1ee9","Success","Transfer*","77712841","2025-10-15 12:13:15","0xf11d0da941625c2e6df119c6b30df9d42ad0a964","","0xb28b7f2953224e6f0331328d8127ff7ef9a7ac62","","0 POL","$0.00","0.00075801"
"0xe872f962df734c3d2f3f875855db40ec7ab29e3dc96320d00e85f8ea54545356","Success","Place Bet","77712841","2025-10-15 12:13:15","0x5016a285c204fe26ad6a3493412e5e59ef069aa3","","0xb918979e39fc955b7acf4b5b77ffabff316a2287","Betfin: Games Partner","0 POL","$0.00","0.03058553"
"0xf1739c053432caad95c3ef19d286cea8426761c4e480c687f4d5df7cf2dee5ee","Success","Transfer","77712841","2025-10-15 12:13:15","0xbd39ee571db86be2bb37eea816e49eb501cb5baf","","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","Circle: USDC Token","0 POL","$0.00","0.0013527"
"0x62a2273e294b1b621567c33f106c3c1db1874a9de48d9dee7104cb8a09fa7ce1","Success","Transfer","77712841","2025-10-15 12:13:15","0x8ddc16f33f14c2dfc66848a425487546aa6a6328","","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","Circle: USDC Token","0 POL","$0.00","0.0013531"
"0xb531105713f02a49958573e23e037f7fd47b0832918c3ba6288daaf155c95f32","Success","Transfer","77712841","2025-10-15 12:13:15","0xe63c4a342a48f8d2975cc9affb9590c7aca7e404","","0x2b92478666516ef5d997490981aa3e00e9c8da9a","","0.000763694 POL","$0.00","0.00070559"
"0xf5b5439fa50156db7dabec261b0d7ccb31a0e12846b5b3bc807a06393182df54","Success","Transfer","77712841","2025-10-15 12:13:15","0x5b30dc3de4b672ea968396eec0e0f10cfb959e57","","0x2b92478666516ef5d997490981aa3e00e9c8da9a","","0.000763694 POL","$0.00","0.00070559"
